GeoHipster,Lat-Lon,Location,Photo URL
Abdishakur Hassan,"57.7009921, 11.8935976","Gothenburg, Sweden","<a href=""https://twitter.com/shakasom/status/599166855543152640"" target=""_blank"">Photo</a>"
Gary Gale,"50.9167526, -1.4004929","Southampton, England, UK","<a href=""https://twitter.com/vicchi/status/607818435033239552"" target=""_blank"">Photo</a>"
Stephen Mather,"40.7290199, -73.9968262","New York, NY","<a href=""https://twitter.com/geohipster/status/607932045810126848"" target=""_blank"">Photo</a>"
Martin Isenburg,"45.7897645, 9.0831083","Como, Italy","<a href=""https://www.facebook.com/LAStools/posts/935302956532149"" target=""_blank"">Photo</a>"
"Steven Feldman, Gary Gale","53.95833, -1.085175","York, UK","<a href=""https://twitter.com/kennethfield/status/641889582036881408"" target=""_blank"">Photo</a>"
Coleman McCormick,"27.7789724, -82.6773319","St Petersburg, FL","<a href=""https://twitter.com/colemanm/status/642369319725346816"" target=""_blank"">Photo</a>"
Carl Anderson,"-33.6647085, 115.3462755",Bovell WA,"<a href=""https://twitter.com/candrsn/status/645442545137266688/photo/1"" target=""_blank"">Photo</a>"
Carl Anderson,"47.6729347, -117.4821895","Spokane, WA","<a href=""https://twitter.com/trippcor/status/656626166707585024"" target=""_blank"">Photo</a>"
"Ryan E. Bowe, Carl Anderson","47.6601203, -117.4192371","Spokane, WA","<a href=""https://twitter.com/geometadata/status/657081636882743296"" target=""_blank"">Photo</a>"
Steven Feldman,"52.3237563, -1.5611847","Kenilworth, Warwick CV8 2LD, United Kingdom","<a href=""https://twitter.com/elliothartley/status/669279604578852864"" target=""_blank"">Photo</a>"
Alex Leith,"-41.5342927, 145.8487309","Middlesex, Tasmania, Australia","<a href=""https://twitter.com/alexgleith/status/691808847967719424"" target=""_blank"">Photo</a>"
"Kitty Hurley, Jacqueline Kovarik","44.9577883, -93.0856275","St Paul, MN","<a href=""https://twitter.com/GeospatialEM/status/701848794321670144"" target=""_blank"">Photo</a>"
John Reiser,"39.7121536, -75.1220413","Glassboro, NJ","<a href=""https://twitter.com/johnjreiser/status/698895159531085826"" target=""_blank"">Photo</a>"
Hugh Saalmans,"-33.888586, 151.2109954","Sydney, New South Wales, Australia","<a href=""https://twitter.com/minus34/status/702728182122676225"" target=""_blank"">Photo</a>"
Nathan Woodrow,"-27.4844683,153.0358035",Brisbane QLD Australia,"<a href=""https://twitter.com/madmanwoo/status/705574187750940672/photo/1"" target=""_blank"">Photo</a>"
Michael Terner ,"42.3576969, -71.0615563","Boston, MA","<a href=""https://twitter.com/MT_AppGeo/status/728548708980248576"" target=""_blank"">Photo</a>"
